squadra,nome_forum,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum,ruolo_testuale_forum,player_id
JUV,Manuel LOCATELLI,9,8,9,6,7,39,"Centrocampista, titolare",827
JUV,Khéphren THURAM,9,7,8,7,7,38,"Centrocampista, titolare",5562
JUV,Weston MCKENNIE,7,7,8,8,7,37,"Centrocampista, titolare",4973
JUV,Fabio MIRETTI,6,7,7,7,6,33,"Trequartista, riserva",5813
JUV,DOUGLAS LUIZ,6,6,7,6,6,31,"Centrocampista, riserva",4911
JUV,Teun KOOPMEINERS,5,5,7,6,5,28,"Centrocampista, riserva",5685
JUV,Melo ARTHUR,4,5,7,5,3,24,"Centrocampista, riserva",
JUV,Kenan YILDIZ,9,9,8,8,9,43,"Ala sinistra, titolare",6434
JUV,Randall KOLO MUANI,9,8,8,8,8,41,"Punta centrale, titolare",5951
JUV,Jérémie BOGA,6,8,7,6,6,33,"Ala sinistra, riserva",2832
JUV,Jonathan DAVID,6,6,9,6,6,33,"Punta centrale, riserva",5544
JUV,Jeff EKHATOR,6,7,7,6,6,32,"Punta centrale, riserva",6822
JUV,Arkadiusz MILIK,5,6,4,6,5,26,"Punta centrale, riserva",
JUV,Nico GONZALEZ,3,7,6,5,5,26,"Ala sinistra/destra, riserva",
LAZ,Danilho DOEKHI,8,6,9,5,6,34,"Difensore centrale, titolare",6320
LAZ,Oliver PROVSTGAARD,9,7,9,2,6,33,"Difensore centrale, titolare",7012
LAZ,Alfonso PEDRAZA,7,6,8,3,7,31,"Terzino sinistro, probabile titolare",4817
LAZ,Adam MARUSIC,6,6,8,4,6,30,"Terzino destro/sinistro, in ballottaggio",2188
LAZ,Nuno TAVARES,6,6,7,4,6,29,"Terzino sinistro, probabile riserva",5620
LAZ,Romano FLORIANI MUSSOLINI,6,6,9,2,6,29,"Terzino destro, probabile riserva",7131
LAZ,Luca PELLEGRINI,5,5,8,4,5,27,"Terzino sinistro, riserva",2728
LAZ,Manuel LAZZARI,5,5,6,3,4,23,"Terzino destro, riserva",2263
LAZ,Alessio ROMAGNOLI,3,7,7,2,3,22,"Difensore centrale, riserva",460
LAZ,Gabarrón Gil PATRIC,3,5,4,3,2,17,"Difensore centrale, riserva",327
LAZ,Samuel GIGOT,3,5,4,3,2,17,"Difensore centrale, riserva",
LAZ,Kenneth TAYLOR,9,7,8,7,8,39,"Trequartista/centrocampista centrale, titolare",7314
LAZ,Matteo CANCELLIERI,7,6,8,6,7,34,"Ala destra, in ballottaggio",5500
LAZ,Danilo CATALDI,6,6,8,5,6,31,"Centrocampista centrale, in ballottaggio",333
LAZ,Nicolò ROVELLA,8,7,6,2,7,30,"Centrocampista centrale, titolare",4459
LAZ,Fisayo DELE BASHIRU,6,5,9,4,5,29,"Centrocampista centrale, in ballottaggio",6629
LAZ,Adrian PRZYBOREK,4,5,9,2,3,23,"Trequartista/centrocampista centrale, riserva",7345
LAZ,Reda BELAHYANE,4,5,8,3,3,23,"Centrocampista centrale, riserva",6191
LAZ,Bruno GALASSI,2,5,9,2,2,20,"Centrocampista centrale, riserva",
LAZ,Valerio FARCOMENI,2,5,9,2,2,20,"Centrocampista centrale, riserva",
LAZ,Petar RATKOV,7,5,9,4,6,31,"Punta centrale, probabile titolare",7313
LAZ,Tijjani NOSLIN,6,5,8,5,5,29,"Ala sinistra, riserva",6556
LAZ,Boulaye DIA,6,5,7,5,5,28,"Punta centrale/trequartista, in ballottaggio",5672
LAZ,Gabriele ARTISTICO,5,5,9,4,4,27,"Punta centrale, riserva",
LAZ,Federico SERRA,2,5,9,3,3,22,"Ala sinistra, riserva",
LAZ,Sanà FERNANDES,2,5,9,2,2,20,"Ala sinistra, riserva",
LEC,Wladimiro FALCONE,9,8,8,7,7,39,"Portiere, titolare",2134
LEC,Christian LUPO,3,6,8,5,3,25,"Portiere, secondo",
LEC,Jasper SAMOOJA,1,6,8,5,1,21,"Portiere, terzo",6523
LEC,Tiago GABRIEL,9,7,8,6,7,37,"Difensore centrale, titolare",6989
LEC,Kialonda GASPAR,8,5,7,6,6,32,"Difensore centrale, titolare",6632
LEC,Antonino GALLO,8,6,8,5,6,33,"Terzino sinistro, titolare",4502
LEC,Danilo VEIGA,8,5,8,4,5,30,"Terzino destra, titolare",6990
LEC,Jamil SIEBERT,6,5,8,5,5,29,"Difensore centrale, riserva",7240
LEC,Corrie NDABA,5,5,8,4,4,26,"Terzino sinistro, riserva",7182
LEC,Matias PEREZ,4,4,4,4,4,20,"Difensore centrale, riserva",7164
LEC,Gaby JEAN,5,5,7,5,4,26,"Difensore centrale, riserva",6883
LEC,Lassana COULIBALY,8,7,8,6,7,36,"Centrocampista centrale, titolare",5504
LEC,Medon BERISHA,7,7,4,7,8,33,"Centrocampista centrale/trequartista , titolare in ballottaggio",6015
LEC,Omri GANDELMAN,6,6,7,6,6,31,"Centrocampista centrale/Trequartista , in ballottaggio",7318
LEC,Olaf GORTER,6,5,8,4,5,28,"Centrocampista centrale , riserva in ballottaggio",7248
LEC,Mohammed KABA,4,5,6,5,3,23,"Mezzala , riserva",6410
LEC,Niko KOVAC,3,5,7,4,3,22,"Centrocampista interno , riserva",
LEC,Willem GEUBBELS,8,6,7,6,7,34,"Punta centrale/esterno d'attacco, titolare",5029
LEC,Hjalte LAERKE,5,6,8,4,5,28,"Esterno d'attacco,  riserva",
LEC,Divine ONYEMACHI,5,6,8,4,5,28,"Esterno d'attacco,  riserva",
LEC,Nikola STULIC,6,5,8,5,5,29,"Attaccante centrale , riserva in ballottaggio",7252
LEC,Lameck BANDA,4,4,4,4,4,20,"Esterno d'attacco sinistro , fuori rosa",
LEC,Paco ESTEBAN,4,6,8,4,4,26,"Attaccante centrale , riserva",
LEC,Konan N'DRI,5,6,8,4,4,27,"Esterno d'attacco destro , riserva",7001
MIL,Mike MAIGNAN,9,8,9,8,8,43,"Portiere, titolare",4312
MIL,Pietro TERRACCIANO,2,8,9,8,3,30,"Portiere, secondo",2815
MIL,Lorenzo TORRIANI,1,8,9,8,1,27,"Portiere, terzo",6813
MIL,Strahinja PAVLOVIĆ,9,8,9,8,8,42,"Braccetto sinistro, titolare",5022
MIL,Mario GILA,9,7,8,4,7,35,"Braccetto destro/Difensore centrale, titolare",5833
MIL,Davide BARTESAGHI,6,6,8,6,6,32,"Esterno sinistro/Braccetto sinistro, in ballottaggio",6496
MIL,Zachary ATHEKAME,4,6,8,7,6,31,"Esterno destro, riserva",7211
MIL,Matteo GABBIA,7,6,8,5,5,31,"Difensore centrale, in leggero ballottaggio",4401
MIL,Fikayo TOMORI,6,6,9,5,5,31,"Braccetto destro, riserva",4751
MIL,Pervis ESTUPIÑÁN,5,5,7,6,5,28,"Esterno sinistro, riserva",5273
MIL,Koni DE WINTER,4,5,9,6,4,28,"Difensore centrale/Braccetto destro, riserva",5739
MIL,Sankhoun DIAWARA,2,5,9,4,3,23,"Difensore centrale/Braccetto sinistro, riserva",7525
MIL,David ODOGU,2,5,9,4,2,22,"Difensore centrale, riserva",
MIL,Adrien RABIOT,9,8,9,7,8,41,"Mediano, titolare",2379
MIL,Christian PULISIC,9,7,6,9,8,39,"Trequartista, titolare",2423
MIL,Alexis SAELEMAEKERS,9,7,8,6,7,37,"Esterno destro/sinistro, titolare",4892
MIL,Luka MODRIĆ,6,9,9,6,6,36,"Mediano, in ballottaggio",2606
MIL,Samuel CHUKWUEZE,6,6,8,7,6,33,"Esterno destro, riserva",4856
MIL,Ardon JASHARI,6,5,8,5,6,30,"Mediano, in ballottaggio",7203
MIL,Youssouf FOFANA,6,6,8,5,5,30,"Mediano, riserva",4686
MIL,Ruben LOFTUS-CHEEK,5,7,6,6,5,29,"Trequartista, riserva",4199
MIL,Samuele RICCI,5,6,8,5,4,28,"Mediano, riserva",5453
MIL,Yunus MUSAH,4,6,8,4,4,26,"Esterno destro, riserva",5295
MIL,Gonçalo RAMOS,9,5,9,8,8,39,"Punta, titolare",6397
MIL,Christopher NKUNKU,6,6,6,6,6,31,"Trequartista, ballottaggio",4728
MIL,Rafael LEÃO,6,6,6,6,5,29,"Trequartista, ballottaggio",4510
MIL,Francesco CAMARDA,5,5,7,4,5,26,"Punta, riserva",6519
MIL,Santiago GIMENEZ,4,4,5,4,4,21,"Punta, riserva",7008
MON,Demba THIAM,7,5,9,5,6,32,Primo portiere,4485
MON,Semuel PIZZIGNACCO,3,5,9,5,3,25,Secondo portiere,6682
MON,STRAJNAR,1,6,9,5,1,22,Terzo portiere,7475
MON,Ricardo MANGAS,7,8,7,6,7,35,"Esterno sinistro, titolare",7485
MON,Samuele BIRINDELLI,8,7,7,6,7,35,"Esterno destro, titolare",5838
MON,Eddy KOUADIO,7,6,8,4,6,31,"Centrale, potenziale titolare",7238
MON,Andrea CARBONI,7,6,8,4,5,30,"Centrale, potenziale titolare",4925
MON,Lorenzo LUCCHESI,6,6,8,4,5,29,"Centrale, in ballottaggio",6659
MON,Filippo DELLI CARRI,6,6,8,4,5,29,"Centrale, in ballottaggio",2115
MON,Adam BAKOUNE,6,6,8,4,5,29,"Esterno, riserva",7476
MON,Arvid BRORSSON,4,6,8,1,3,22,"Centrale, riserva",
MON,Valentin ANTOV,4,5,4,1,3,17,"Centrale, riserva",5399
MON,Matteo PESSINA,8,7,7,7,8,37,"Centrocampista, titolare",2741
MON,Andrea COLPANI,6,6,7,6,6,31,"Trequartista, titolare",5878
MON,Ebenezer AKINSANMIRO,7,5,8,4,6,30,"Centrocampista, titolare",6593
MON,Leonardo COLOMBO,6,6,8,3,4,27,"Centrocampista, riserva",7477
MON,Patrick CIURRIA,5,5,7,5,3,25,"Centrocampista, riserva",5880
MON,Patrick CUTRONE,8,6,7,6,7,34,"Punta centrale, titolare",2155
MON,Dany MOTA,8,6,6,6,6,32,"Trequartista, in ballottaggio",5882
MON,Gustavo VARELA,5,6,8,5,6,30,"Punta centrale, in ballottaggio",7523
MON,Jay ROBINSON,5,6,7,4,6,28,"Trequartista, riserva",7546
MON,Andrea PETAGNA,4,4,4,3,3,18,"Punta centrale, riserva",383
NAP,Amir RRAHMANI,9,9,7,6,8,39,"Difensore centrale o braccetto di destra, titolare",4409
NAP,Leonardo SPINAZZOLA,8,7,6,7,7,35,"Terzino sinistro o esterno sinistro, raramente esterno destro, titolare",1852
NAP,Giovanni DI LORENZO,8,7,7,6,7,35,"Braccetto o terzino destro, titolare, capitano",2816
NAP,Rafael Zamora MARÍN,6,7,9,5,7,34,"Difensore centrale o braccetto destro, titolare (al momento)",6638
NAP,Sam BEUKEMA,6,7,6,5,6,30,"Difensore centrale o braccetto di destra, prima riserva",6202
NAP,Mathías OLIVERA,6,7,7,4,6,30,"Terzino sinistro o braccetto di sinistra, prima riserva",5840
NAP,Alessandro BUONGIORNO,7,7,4,6,5,29,"Difensore centrale o braccetto di sinistra, titolare (in infermeria)",2724
NAP,Luca MARIANUCCI,5,6,8,4,5,28,"Difensore centrale, riserva",6809
NAP,Nosa Edward OBARETIN,4,7,7,4,2,24,"Difensore centrale o terzino sinistro, riserva",
NAP,Pasquale MAZZOCCHI,5,5,7,4,2,23,"Esterno ambivalente con preferenza per il lato destro, riserva",5481
NAP,Scott Francis MCTOMINAY,9,9,7,8,9,42,"Centrocampista, mezzala sinistra, trequartista, titolare",4777
NAP,André-Frank ZAMBO ANGUISSA,8,8,6,7,7,36,"Centrocampista, mezzala, titolare in ballottaggio",4220
NAP,Antonio VERGARA,6,8,7,7,8,35,"Trequartista o mezzala destra, in ballottaggio",7223
NAP,Kevin DE BRUYNE,6,8,5,7,7,33,"Jolly di centrocampo, primissima riserva o potenzialmente in ballottaggio",2517
NAP,Stanislav LOBOTKA,9,7,7,3,6,32,"Centrocampista, mediano, titolare",4287
NAP,Michael Ijemuan FOLORUNSHO,5,7,7,5,5,29,"Centrocampista o trequartista, riserva",6252
NAP,Billy GILMOUR,6,7,6,4,5,28,"Centrocampista, mediano, prima riserva",5131
NAP,Vincenzo PRISCO,4,7,8,4,3,26,"Centrocampista, mediano, riserva",
NAP,Jesper LINDSTRØM,4,7,6,4,2,24,"Ala destra o sinistra, riserva",
NAP,Jens CAJUSTE,3,6,7,4,2,22,"Centrocampista, mediano, riserva",
NAP,Rasmus Winther HØJLUND,9,8,7,8,9,41,"Punta, titolare",
NAP,Lorenzo LUCCA,5,6,8,5,6,30,"Punta, prima riserva",6215
NAP,Romelu LUKAKU,5,7,5,5,4,26,"Punta, riserva",2531
PAR,Edoardo CORVI,6,7,7,7,6,33,"Portiere, Primo portiere in ballottaggio",6662
PAR,Giovanni DAFFARA,5,6,7,7,6,31,"Portiere, Secondo in ballottaggio",7411
PAR,Alessandro MAZZOCCHI,3,4,6,4,3,20,"Portiere, Terzo",
PAR,Zion SUZUKI,3,3,3,3,3,15,"Portiere, partente sul mercato",6641
PAR,Enrico DEL PRATO,9,6,8,6,7,36,"Jolly difensivo, Titolare e capitano",
PAR,Emanuele VALERI,9,6,7,6,6,34,"Terzino/esterno sx, Titolare",5862
PAR,Mariano TROILO,7,6,8,6,6,33,"Difensore centrale, titolare",7235
PAR,Alessandro CIRCATI,8,6,6,6,6,32,"Difensore centrale, titolare",6663
PAR,Sascha BRITSCHGI,5,5,7,5,5,27,"Terzino/Esterno destro, riserva",7255
PAR,Franco CARBONI,4,5,7,4,4,24,"Terzino/Esterno sinistro, riserva",6149
PAR,Lautaro VALENTI,5,5,5,4,4,23,"Difensore centrale, riserva",5307
PAR,Abdoulaye NDIAYE,5,4,5,4,4,22,"Difensore centrale, riserva",7202
PAR,Dominik DROBNIC,3,4,6,4,3,20,"Difensore centrale, riserva",
PAR,Adriàn BERNABE',9,7,5,6,7,34,"Mezz'ala, titolare",6666
PAR,Mandela KEITA,9,6,8,4,5,32,"Mezz'ala/Mediano, titolare",6898
PAR,Hans NICOLUSSI CAVIGLIA,8,6,5,5,6,30,"Mediano, titolare",4349
PAR,Oliver SORENSEN,5,5,8,5,5,28,"Mezz'ala, riserva",7209
PAR,Jacob ONDREJKA,6,5,5,5,5,26,"Esterno offensivo/Seconda punta, Riserva",6984
PAR,Ousmane DIALLO',5,5,6,5,5,26,"Esterno offensivo, riserva",7536
PAR,Benjamin CREMASCHI,5,5,5,5,5,25,"Mezz'ala, riserva",7276
PAR,Christian ORDONEZ,5,5,7,5,5,25,"Mezz'ala, riserva",7138
PAR,Abdou-Salam KONATE',5,5,7,4,4,25,"Mediano, riserva",
PAR,Rachid KOUDA,4,5,6,5,4,24,"Mezz'ala, riserva",
PAR,Pontus ALMQVIST,5,5,5,3,4,22,"Esterno offensivo, Riserva",6207
PAR,Antoine JOUJOU,4,4,6,4,4,22,"Esterno offensivo, riserva",
PAR,Mateo PELLEGRINO,9,7,8,7,7,38,"Attaccante centrale, titolare",7023
PAR,Matija FRIGAN,7,6,4,6,6,29,"Esterno offensivo/Seconda punta, titolare",7213
PAR,Simone LONTANI,5,5,7,5,5,27,"Attaccante, Esterno offensivo, riserva",
PAR,Nesta ELPHEGE,5,6,5,5,5,26,"Attaccante centrale, riserva",7342
PAR,El Bilal TOURE',8,6,4,6,6,30,"Esterno offensivo/Attaccante centrale, Titolare",6229
ROM,Pierluigi GOLLINI,3,6,9,6,5,21,"Portiere, secondo",610
ROM,Giorgio DE MARZI,1,1,8,1,1,12,"Portiere, terzo",7048
ROM,Devis VASQUEZ,1,1,8,1,1,12,"Portiere, in uscita",
ROM,Gianluca MANCINI,9,8,9,7,8,41,"Difensore centrale destro, titolare",2296
ROM,Manu KONÉ,9,8,7,6,8,38,"Centrocampista, titolare",5589
ROM,Bryan CRISTANTE,9,7,9,6,7,38,"Centrocampista, titolare",779
ROM,Niccolò PISILLI,7,7,8,7,7,36,"Centrocampista, titolare",6190
ROM,Neil EL AYNAOUI,7,6,8,7,7,35,"Centrocampista, titolare",6271
ROM,Donyell MALEN,9,9,8,9,9,44,"Punta centrale, titolare",5585
ROM,Robinio VAZ,5,5,8,6,5,29,"Punta centrale, riserva",6981
SAS,Arijanet MURIC,9,7,8,6,7,37,"Portiere, Titolare",4236
SAS,Stefano TURATI,3,7,8,5,3,26,Secondo Portiere,4867
SAS,Alessandro RUSSO,1,1,8,5,1,16,Terzo Portiere,4518
SAS,Jay IDZES,9,7,8,6,7,37,"Centrale, Titolare",6672
SAS,Filippo MISSORI,7,6,8,6,6,33,"Terzino Dx, Titolare",6189
SAS,Josh DOIG,7,6,7,6,6,32,"Terzino Sx, Titolare",5851
SAS,Fali CANDE,7,6,7,5,6,31,"Centrale , Titolare",6985
SAS,Sebastian WALUKIEWICZ,6,6,7,4,5,28,"Centrale, Riserva",4374
SAS,Edoardo PIERAGNOLO,4,5,8,6,3,26,"Terzino Sx, Riserva",7156
SAS,Cas ODENTHAL,4,5,7,4,3,23,"Centrale, Riserva",
SAS,Kristian THORSTVEDT,7,7,8,8,7,37,"Trequartista, titolare",5844
SAS,Cristian VOLPATO,6,8,8,7,7,36,"Trequartista/Ala Destra, riserva",5735
SAS,Nemanja MATIC,8,7,8,5,7,35,"Mediano, Titolare",2528
SAS,Luca LIPANI,7,7,8,5,7,34,"Mediano, titolare",6246
SAS,Darryl BAKOLA,6,7,8,6,7,34,"Trequartista, riserva",7036
SAS,Vasilije ADZIC,6,7,8,5,6,32,"Mediano/Mezzala, Riserva",6677
SAS,Ismael KONE,3,7,7,7,3,27,"Mediano, infortunato",6717
SAS,Daniel BOLOCA,3,6,6,5,3,23,"Mediano, riserva",6219
SAS,Armand LAURIENTE',9,8,8,7,9,41,"Ala sinistra, titolare",6060
SAS,Domenico BERARDI,9,8,6,7,8,38,"Ala destra, titolare",531
SAS,Andrea PINAMONTI,9,6,8,7,8,38,"Punta, titolare",2038
SAS,Kieron BOWIE,6,6,8,5,6,31,"Punta, Riserva",7347
SAS,Luca MORO,4,5,8,4,4,25,"Punta, riserva",7158
TOR,Alberto PALEARI,8,5,8,5,5,31,"Portiere, secondo",5320
TOR,Diego MASCARDI,1,4,8,4,2,19,"Portiere, terzo",7457
TOR,Franco ISRAEL,2,4,5,5,2,18,"Portiere, titolare",
TOR,Eray COMERT,8,7,8,6,7,36,"Difensore centrale, titolare",7526
TOR,Ardian ISMAJILI,8,8,6,5,8,35,"Difensore centrale, titolare",
TOR,Pietro COMUZZO,8,6,8,6,7,35,"Difensore centrale, titolare",6495
