squadra,nome_forum,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum,ruolo_testuale_forum,player_id
VEN,Redouane HALHAL,7,6,8,6,6,33,"Difensore centrale, titolare in ballottaggio",7538
VEN,Joël SCHINGTIENNE,7,6,8,5,6,32,"Difensore centrale, titolare in ballottaggio",6892
VEN,Matìas MORENO,7,6,7,6,6,32,"Difensore centrale, riserva in ballottaggio",6890
VEN,Thierry CORREIA,7,6,6,6,6,31,"Esterno destro/Esterno sinistro, titolare in ballottaggio",4845
VEN,Ridgeciano HAPS,6,6,7,6,6,31,"Esterno sinistro/Difensore centrale, riserva in ballottaggio",5695
VEN,Richie SAGRADO,6,6,7,6,5,30,"Esterno destro/Esterno sinistro, riserva in ballottaggio",6681
VEN,Alejandro GOMES FURTADO,5,6,8,5,5,29,"Difensore centrale, riserva",7454
VEN,Bartol FRANJIC,6,5,7,4,5,27,"Difensore centrale/Esterno sinistro, riserva",7478
VEN,Armel SVERKO,6,5,7,4,4,26,"Difensore centrale, riserva",6673
VEN,Junior LIGUE,4,5,7,5,3,24,"Esterno sinistro/Difensore centrale, riserva",
VEN,Michael VENTURI,3,5,8,5,2,23,"Difensore centrale, riserva",
VEN,Simon SOHM,7,7,8,7,7,36,"Mezz'ala/Mediano/Trequartista, riserva in ballottaggio",5319
VEN,Kike PÉREZ,7,7,8,7,7,36,"Mezz'ala/Trequartista, titolare in ballottaggio",6994
VEN,Gianluca BUSIO,8,7,7,6,7,35,"Regista/Mezz'ala, titolare",5507
VEN,Toma BASIC,7,7,8,6,7,35,"Mezz'ala, titolare in ballottaggio",5674
VEN,Matteo DAGASSO,6,7,8,6,6,33,"Mezz'ala/Trequartista/Regista, riserva in ballottaggio",7481
VEN,Marko FARJI,5,5,8,6,4,28,"Esterno sinistro/Esterno destro/Seconda punta, riserva",
VEN,Lorenzo BERARDI,5,6,8,5,4,28,"Esterno sinistro/Mezz'ala/Trequartista, riserva",
VEN,Thòrir Jòhann HELGASON,5,5,8,5,4,27,"Mezz'ala/Trequartista/Regista, riserva",5872
VEN,Alfred DUNCAN,5,5,6,5,5,26,"Regista/Mezz'ala, riserva",526
VEN,Simone PANADA,4,5,8,5,3,25,"Regista, gerarchia",
VEN,Lamine FANNE,4,5,8,4,3,24,"Mezz'ala/Trequartista, gerarchia",
VEN,Saad EL HADDAD,3,5,8,4,2,22,"Trequartista, riserva",
VEN,Emil BOHINEN,3,4,7,4,2,20,"Regista/Mezz'ala, riserva",
VEN,Akor ADAMS,7,7,8,7,7,36,"Prima punta, titolare in ballottaggio",7484
VEN,John YEBOAH,7,7,8,6,7,35,"Seconda punta, titolare in ballottaggio",6904
VEN,Albion RRAHMANI,7,7,8,6,6,34,"Prima punta/Seconda punta, riserva in ballottaggio",7449
VEN,Lion LAUBERBACH,5,6,8,4,4,29,"Prima punta, riserva",7482
VEN,Andrea ADORANTE,5,6,7,5,5,28,"Prima punta, riserva",4387
VEN,Kornel LISMAN,5,5,6,4,4,24,"Ala sinistra/Ala destra, riserva",7408
VEN,Alvin OKORO,4,5,8,3,3,23,"Prima punta, riserva",
VEN,Antonio CASAS,4,5,8,3,2,22,"Prima punta/Seconda punta, riserva",
