player_id,nome_giocatore,n_train,n_test,order_armax,aic_armax,mae_armax,mae_lgbm,armax_migliore
1939,Lapadula,137,10,"(2, 1, 1)",341.6334240414825,0.8315085027409055,0.24897483942941373,False
1958,Caprari,219,30,"(2, 0, 1)",492.5614453604361,0.3579984898134576,0.27305767024411043,False
2008,Linetty,218,22,"(2, 1, 1)",404.48174557792925,0.3343375953566409,0.3198218421944136,False
2038,Pinamonti,165,70,"(2, 1, 1)",403.15442503427346,0.7289539734749677,0.6469088666335839,False
2061,Simeone,238,51,"(1, 0, 1)",637.5909612239366,0.7323049135482739,0.5578400408042055,False
2077,Pasalic,206,64,"(2, 1, 1)",478.33590519684185,0.9096704930555906,0.45733504996095664,False
2120,Bastoni,172,60,"(2, 0, 1)",310.55710588137606,0.436104216586963,0.42556387265301593,False
2155,Cutrone,104,47,"(2, 1, 1)",220.50660669943872,0.6596272660086232,0.47654487051622396,False
2160,Gosens,149,57,"(2, 0, 1)",290.957344226618,0.7124800177675942,0.4223236032991628,False
2167,Orsolini,201,63,"(1, 0, 1)",440.64354718392997,0.696998117188253,0.6521787670574307,False
2181,Palomino,159,17,"(1, 0, 1)",327.61063799843373,0.7692206787945272,0.4702358519085572,False
2188,Marusic,209,64,"(1, 0, 1)",417.9431008372731,0.538234344413327,0.4364178486772345,False
2194,Calhanoglu,232,50,"(2, 0, 1)",523.5737059266361,0.5536056160531838,0.6434220701444108,True
2211,Silvestri,161,9,"(1, 0, 0)",229.97478148455372,0.4645441912346495,0.4457507048574469,False
2263,Lazzari,209,39,"(2, 0, 1)",393.0742339932824,0.48673753773769246,0.36466255613962595,False
2285,Bani,142,20,"(2, 1, 1)",334.88031662200876,0.6118947114151989,0.34396118707299034,False
2296,Mancini,206,73,"(2, 0, 1)",400.9466737223529,0.7118345865769787,0.427410304742023,False
2379,Rabiot,152,29,"(1, 0, 1)",277.2726062905276,0.8556703226989176,0.6782808566160065,False
2489,Pedro,120,51,"(1, 0, 0)",257.42021763649484,0.6778411583907347,0.5196055983135417,False
2525,Darmian,137,31,"(1, 0, 1)",211.7146177243536,0.4302827517481632,0.2079618212368607,False
2529,Mkhitaryan,154,60,"(2, 0, 1)",330.33965728261967,0.5497233983457243,0.37659742040312744,False
2531,Lukaku,128,37,"(2, 1, 1)",340.4894155443433,0.9472913046930832,0.7220060263315364,False
2653,Lykogiannis,130,24,"(1, 0, 1)",230.98067693086506,1.2419650833381082,0.46127227770047924,False
2741,Pessina,161,11,"(1, 0, 1)",297.48983915015583,0.5487778765208029,0.28874241320051364,False
2762,Kouame',127,23,"(2, 1, 1)",269.95460400498126,0.5077684879364885,0.31053700796736,False
2764,Martinez L.,198,61,"(1, 0, 1)",544.2633802808823,0.7335034519842034,0.7426833493620743,True
2766,Zaniolo,92,49,"(1, 0, 1)",221.4639939333408,0.9809786249779249,0.46808506547139966,False
2769,Magnani,115,14,"(1, 0, 1)",246.5404151986258,1.5335490428953535,0.8402331026486303,False
2788,Bremer,161,32,"(1, 0, 1)",375.74923669949584,0.7374971433540047,0.555041791694115,False
2814,Provedel,144,56,"(1, 0, 1)",240.373388245166,0.5857947920631191,0.3170769917922977,False
2816,Di Lorenzo,212,63,"(1, 0, 0)",427.6251300767923,0.5164243337734942,0.44542259594094535,False
2832,Boga,128,13,"(1, 0, 0)",304.3412637546471,1.2743178679202503,0.5827341699036303,False
2841,Vlahovic,162,43,"(2, 1, 1)",424.3423530801157,1.2281658579006847,0.6628532092555491,False
4237,Danilo,142,8,"(2, 1, 1)",251.2014808315639,1.1554424987591383,0.5587808657190605,False
4292,Hernandez T.,162,33,"(2, 1, 1)",402.40428531047905,0.7192349328246783,0.47876883143653415,False
4371,Raspadori,119,31,"(1, 0, 1)",267.5559407301548,0.6984080995210044,0.5504807083529418,False
4377,Castrovilli,105,14,"(1, 0, 1)",243.48247410587146,0.7301839583600561,0.3337282701868941,False
4404,Thorsby,112,48,"(2, 0, 1)",229.60931000683826,0.4746749001828287,0.3659040429929048,False
4409,Rrahmani,141,59,"(1, 0, 1)",295.3901631618621,2.352887138451651,0.49524769477158204,False
4421,Augello,156,37,"(2, 1, 1)",277.199830408242,1.2736100108920378,0.413304662201369,False
4427,Malinovskyi,128,43,"(1, 0, 0)",278.9439827345833,0.6769512721713672,0.4656115977416876,False
4479,Elmas,115,41,"(1, 0, 0)",204.28793726016173,0.519285206375727,0.4863837427248164,False
4510,Rafael Leao,157,62,"(1, 0, 0)",420.60486943988377,0.9460915721446318,0.6759076678847071,False
4530,Kyriakopoulos,117,34,"(2, 1, 1)",188.57982249355882,1.9332978484181917,0.34961131417577057,False
4751,Tomori,106,50,"(2, 0, 1)",238.70701367297738,1.4126505609330267,0.32466095678103246,False
4890,Tameze,136,32,"(1, 0, 1)",263.53917136355653,0.6830780699273289,0.426124551534544,False
4892,Saelemaekers,137,57,"(2, 1, 1)",296.72150606568124,0.8541708771060323,0.4729930728474196,False
4957,Montipo',145,71,"(1, 0, 1)",267.70950279639146,0.6571258079906127,0.36770049858415793,False
4965,Marin,133,27,"(1, 0, 1)",249.8896657463186,1.4537993519703822,0.45669911844766514,False
4970,Messias,104,35,"(2, 1, 1)",232.5327412898342,1.4289936260601144,0.3465008453114005,False
4992,Gyasi,136,37,"(1, 0, 1)",295.40430980377494,0.5493057009811995,0.38118738036782995,False
5007,Ilic,113,24,"(1, 0, 0)",216.43259623661208,0.7936007658514145,0.3597255776742765,False
