squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
GEN,Vitinha O.,a,8.0,31,6.43,5.98,4.2,1.9,12.1,21.7,15.3,,,,
GEN,Frendrup,c,7.0,36,5.93,5.9,0.5,1.1,1.3,28.1,25.1,9.0,8.0,6.0,32.0
GEN,Marcandalli,d,6.0,31,5.73,5.81,0.6,0.6,0.3,26.5,23.1,8.0,9.0,6.0,33.0
GEN,Ellertsson,c,6.0,35,5.96,5.87,1.1,1.6,2.1,25.7,22.1,8.0,8.0,5.0,29.0
GEN,Martin,d,5.0,29,6.0,5.94,1.1,2.0,2.3,20.3,15.6,3.0,8.0,4.0,28.0
GEN,Amorim,c,4.0,9,5.81,5.79,0.6,0.8,0.9,18.7,14.5,6.0,8.0,5.0,31.0
GEN,Messias,c,3.0,19,6.13,5.94,1.8,0.9,4.9,11.5,6.5,5.0,4.0,5.0,28.0
GEN,Otoa,d,2.0,10,5.66,5.86,0.1,0.4,-0.3,14.5,13.6,5.0,8.0,4.0,27.0
GEN,Sabelli,d,2.0,13,5.72,5.8,0.3,0.7,-0.0,13.9,12.3,6.0,8.0,5.0,28.0
GEN,Masini,c,2.0,21,5.93,5.89,1.1,0.8,1.2,18.0,14.5,5.0,7.0,4.0,26.0
GEN,Venturino,c,2.0,7,6.18,5.98,1.3,1.0,2.5,13.9,9.5,4.0,6.0,4.0,25.0
GEN,Sommariva,p,1.0,2,4.78,6.05,0.3,0.3,-2.4,5.1,5.1,1.0,8.0,1.0,20.0
INT,Martinez L.,a,35.0,30,7.46,6.23,11.1,4.8,41.2,28.7,20.6,9.0,9.0,9.0,45.0
INT,Dimarco,d,32.0,35,6.68,6.2,4.9,5.4,18.9,27.5,21.8,9.0,8.0,9.0,44.0
INT,Thuram,a,29.0,29,7.45,6.17,10.0,2.8,33.2,28.3,20.4,8.0,8.0,8.0,41.0
INT,Calhanoglu,c,27.0,22,7.06,6.21,4.5,3.6,22.9,24.4,16.0,9.0,6.0,9.0,42.0
INT,Martinez Jo.,p,17.0,5,5.21,5.93,0.1,0.3,-22.6,25.6,20.4,,,,
INT,Barella,c,17.0,34,6.5,6.14,3.1,4.7,8.7,29.5,24.3,9.0,8.0,7.0,39.0
INT,Akanji,d,16.0,32,6.17,6.06,1.3,0.6,3.2,27.3,27.2,9.0,8.0,9.0,40.0
INT,Esposito F.P.,a,16.0,31,6.62,6.01,5.1,1.7,16.5,26.3,18.3,6.0,8.0,7.0,37.0
INT,Bastoni,d,14.0,28,6.13,6.06,1.3,1.9,2.4,25.0,20.6,9.0,8.0,8.0,39.0
INT,Bisseck,d,11.0,23,6.24,6.04,2.2,0.9,5.7,20.8,17.7,7.0,8.0,7.0,37.0
