stagione,player_id,nome_giocatore,squadra_sigla,ruolo_classic,ruolo_mantra,quotazione_iniziale,quotazione_attuale,fvm
2015-16,392,Koulibaly,NAP,d,dc,8.0,12.0,
2015-16,453,Szczesny,ROM,p,por,6.0,12.0,
2015-16,459,Manolas,ROM,d,dc,11.0,12.0,
2015-16,476,Ibarbo,ROM,a,a,13.0,12.0,
2015-16,556,Baselli,TOR,c,m|cc,9.0,12.0,
2015-16,604,Lopez N.,UDI,a,a,12.0,12.0,
2015-16,657,Digne,ROM,d,ds|cs,10.0,12.0,
2015-16,792,Zarate,FIO,a,a,10.0,12.0,
2015-16,63,Bianchi,BOL,a,pc,11.0,11.0,
2015-16,140,Hysaj,NAP,d,dd|ds|cd|cs,7.0,11.0,
2015-16,160,Tatarusanu,FIO,p,por,8.0,11.0,
2015-16,178,Joaquin,FIO,c,cd|w,12.0,11.0,
2015-16,299,Khedira,JUV,c,m|cc,11.0,11.0,
2015-16,342,Parolo,LAZ,c,cc,17.0,11.0,
2015-16,350,Donnarumma G.,MIL,p,por,1.0,11.0,
2015-16,356,Antonelli,MIL,d,ds|cs,10.0,11.0,
2015-16,378,Cerci,GEN,a,a,15.0,11.0,
2015-16,390,Ghoulam,NAP,d,ds|cs,8.0,11.0,
2015-16,404,Jorginho,NAP,c,m|cc,8.0,11.0,
2015-16,438,Rigoni L,GEN,c,m|cc,13.0,11.0,
2015-16,475,Iago Falque,ROM,a,a,21.0,11.0,
2015-16,523,Vrsaljko,SAS,d,dd|cd,8.0,11.0,
2015-16,526,Duncan,SAS,c,m|cc,7.0,11.0,
2015-16,536,Politano,SAS,a,w|a,6.0,11.0,
2015-16,566,Maxi Lopez,TOR,a,pc,17.0,11.0,
2015-16,590,Bruno Fernandes,UDI,c,cc|t,10.0,11.0,
2015-16,662,Alex Sandro,JUV,d,ds|cs,12.0,11.0,
2015-16,20,Cigarini,ATA,c,m|cc,11.0,10.0,
2015-16,28,Kurtic,ATA,c,m|cc,11.0,10.0,
2015-16,39,Pinilla,ATA,a,pc,21.0,10.0,
2015-16,81,Di Gaudio,CAR,c,w|a,8.0,10.0,
2015-16,112,Castro,CHI,c,w|t,13.0,10.0,
2015-16,124,Meggiorini,CHI,a,a,9.0,10.0,
2015-16,165,Marcos Alonso,FIO,d,ds|cs,5.0,10.0,
2015-16,235,Laxalt,GEN,c,cs|cc|w,4.0,10.0,
2015-16,288,Chiellini,JUV,d,ds|dc,14.0,10.0,
2015-16,300,Marchisio,JUV,c,m|cc,14.0,10.0,
2015-16,338,Lulic,LAZ,c,cs|cc|w,13.0,10.0,
2015-16,353,Abate,MIL,d,dd|cd,9.0,10.0,
2015-16,381,Menez,MIL,a,t|a,20.0,10.0,
2015-16,388,Albiol,NAP,d,dc,9.0,10.0,
2015-16,413,Sorrentino,PAL,p,por,10.0,10.0,
2015-16,528,Magnanelli,SAS,c,m|cc,7.0,10.0,
2015-16,533,Floccari,BOL,a,pc,12.0,10.0,
2015-16,557,Benassi,TOR,c,m|cc,11.0,10.0,
2015-16,588,Widmer,UDI,d,dd|cd,11.0,10.0,
2015-16,589,Badu,UDI,c,m|cc,4.0,10.0,
2015-16,619,Pisano E,VER,d,dd|ds|cd|cs,5.0,10.0,
2015-16,627,Ionita,VER,c,cc,5.0,10.0,
2015-16,631,Viviani,VER,c,m|cc,9.0,10.0,
2015-16,656,Rudiger,ROM,d,dc,7.0,10.0,
2015-16,720,Belec,CAR,p,por,1.0,10.0,
2015-16,775,Alvarez R,SAM,c,t|a,12.0,10.0,
2015-16,789,Trotta,SAS,a,pc,15.0,10.0,
2015-16,21,D'alessandro,ATA,c,w,4.0,9.0,
2015-16,22,De Roon,ATA,c,m|cc,4.0,9.0,
2015-16,74,Letizia,CAR,d,dd|ds|cd|cs,5.0,9.0,
2015-16,127,Pellissier,CHI,a,pc,10.0,9.0,
2015-16,133,Skorupski,EMP,p,por,9.0,9.0,
2015-16,142,Mario Rui,EMP,d,ds|cs,7.0,9.0,
2015-16,146,Croce,EMP,c,cs|m|cc,6.0,9.0,
2015-16,181,Vecino,FIO,c,cc|t,8.0,9.0,
2015-16,207,Paganini,FRO,c,w|a,8.0,9.0,
2015-16,214,Lupoli,FRO,a,pc,9.0,9.0,
2015-16,292,Lichtsteiner,JUV,d,dd|cd,13.0,9.0,
2015-16,315,Zaza,JUV,a,pc,14.0,9.0,
2015-16,355,Alex,MIL,d,dc,7.0,9.0,
2015-16,382,Niang,MIL,a,a,12.0,9.0,
2015-16,460,Romagnoli,MIL,d,dc,9.0,9.0,
2015-16,468,Paredes,EMP,c,cc|t,4.0,9.0,
2015-16,487,De Silvestri,SAM,d,dd|cd,9.0,9.0,
2015-16,534,Floro Flores,CHI,a,a,11.0,9.0,
2015-16,543,Padelli,TOR,p,por,11.0,9.0,
2015-16,548,Glik,TOR,d,dc,15.0,9.0,
2015-16,552,Moretti,TOR,d,ds|dc,8.0,9.0,
2015-16,570,Karnezis,UDI,p,por,10.0,9.0,
2015-16,696,Balotelli,MIL,a,pc,20.0,9.0,
2015-16,706,Ansaldi,GEN,d,dd|ds|cd|cs,8.0,9.0,
2015-16,713,Dzemaili,GEN,c,cc,8.0,9.0,
2015-16,47,Gastaldello,BOL,d,dc,5.0,8.0,
2015-16,49,Masina,BOL,d,ds|cs,5.0,8.0,
2015-16,58,Diawara,BOL,c,m|cc,1.0,8.0,
2015-16,76,Romagnoli S.,CAR,d,dc,3.0,8.0,
2015-16,80,Bianco R.,CAR,c,m|cc,4.0,8.0,
2015-16,86,Pasciuti,CAR,c,cd|cs|cc,6.0,8.0,
2015-16,92,Matos,UDI,a,a,14.0,8.0,
2015-16,93,Mbakogu,CAR,a,pc,16.0,8.0,
2015-16,99,Cacciatore,CHI,d,dd|ds|cd|cs,4.0,8.0,
2015-16,100,Cesar,CHI,d,dc,6.0,8.0,
2015-16,105,Gobbi,CHI,d,ds|cs,6.0,8.0,
2015-16,115,Hetemaj,CHI,c,cd|cs|m|cc,8.0,8.0,
2015-16,119,Rigoni N,CHI,c,m|cc,2.0,8.0,
2015-16,226,Izzo,GEN,d,dc,4.0,8.0,
2015-16,241,Tachtsidis,GEN,c,m|cc,4.0,8.0,
2015-16,259,Murillo,INT,d,dc,10.0,8.0,
2015-16,268,Guarin,INT,c,cc|t,14.0,8.0,
2015-16,290,Evra,JUV,d,ds|cs,7.0,8.0,
2015-16,294,Rugani,JUV,d,dc,7.0,8.0,
2015-16,369,Honda,MIL,c,t|a,9.0,8.0,
2015-16,372,Montolivo,MIL,c,cc,10.0,8.0,
2015-16,403,Inler,NAP,c,m|cc,8.0,8.0,
2015-16,448,Trajkovski,PAL,a,a,10.0,8.0,
2015-16,473,Doumbia S.,ROM,a,pc,8.0,8.0,
2015-16,504,Wszolek,VER,c,cd|w,3.0,8.0,
2015-16,521,Peluso,SAS,d,ds|dc|cs,6.0,8.0,
2015-16,529,Missiroli,SAS,c,cc|t,10.0,8.0,
