stagione_target,player_id,nome_giocatore,ruolo,squadra_giocatore_target,squadra_giocatore_n1,cambio_squadra,presenze_cumulate_carriera_n1,fantamedia_target,gol_target,assist_target,bonus_netti_target,presenze_target,voto_medio_target,presenze_titolare_target,fantamedia_lag1,gol_lag1,assist_lag1,bonus_netti_lag1,presenze_lag1,voto_medio_lag1,minuti_totali_lag1,xg_totale_lag1,xa_totale_lag1,shots_totali_lag1,presenze_titolare_lag1,ammonizioni_totali_lag1,espulsioni_totali_lag1,rigori_segnati_totali_lag1,rigori_sbagliati_totali_lag1,rigori_parati_totali_lag1,fantamedia_ma3,gol_ma3,assist_ma3,bonus_netti_ma3,presenze_ma3,voto_medio_ma3,minuti_totali_ma3,xg_totale_ma3,xa_totale_ma3,shots_totali_ma3,presenze_titolare_ma3,ammonizioni_totali_ma3,espulsioni_totali_ma3,rigori_segnati_totali_ma3,rigori_sbagliati_totali_ma3,rigori_parati_totali_ma3,fantamedia_std3,fantamedia_trend3,gol_std3,gol_trend3,assist_std3,assist_trend3,bonus_netti_std3,bonus_netti_trend3,presenze_std3,presenze_trend3,voto_medio_std3,voto_medio_trend3,minuti_totali_std3,minuti_totali_trend3,xg_totale_std3,xg_totale_trend3,xa_totale_std3,xa_totale_trend3,shots_totali_std3,shots_totali_trend3,presenze_titolare_std3,presenze_titolare_trend3,ammonizioni_totali_std3,ammonizioni_totali_trend3,espulsioni_totali_std3,espulsioni_totali_trend3,rigori_segnati_totali_std3,rigori_segnati_totali_trend3,rigori_sbagliati_totali_std3,rigori_sbagliati_totali_trend3,rigori_parati_totali_std3,rigori_parati_totali_trend3,fantamedia_career_mean,gol_career_mean,assist_career_mean,bonus_netti_career_mean,presenze_career_mean,voto_medio_career_mean,minuti_totali_career_mean,xg_totale_career_mean,xa_totale_career_mean,shots_totali_career_mean,presenze_titolare_career_mean,ammonizioni_totali_career_mean,espulsioni_totali_career_mean,rigori_segnati_totali_career_mean,rigori_sbagliati_totali_career_mean,rigori_parati_totali_career_mean,eta_n1,squadra_in_champions_n1,squadra_in_champions_target,squadra_punti_finali_n1,squadra_posizione_finale_n1,squadra_nuova_punti_finali_n1,squadra_nuova_posizione_finale_n1,quotazione_iniziale_n1,quotazione_attuale_n1,fvm_n1,quotazione_iniziale_target,infortuni_n1_count,infortuni_n1_giorni_totali,infortuni_career_count,altezza_m,nazionalita,piede_dominante,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum
2016-17,134,Barba,difensore,Empoli,Empoli,0.0,1.0,5.636363636363637,0.0,0.0,-1.5,11.0,5.7727272727272725,9.0,5.55,0.0,0.0,-1.5,10.0,5.7,891.0,0.18592740129679441,0.04087189957499504,3.0,10.0,3.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,-1.5,10.0,5.7,891.0,0.18592740129679441,0.04087189957499504,3.0,10.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,0.0,0.0,-1.5,10.0,5.7,891.0,0.18592740129679441,0.04087189957499504,3.0,10.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,43.0,12.0,,,6.0,4.0,,4.0,2.0,95.0,2.0,1.87,Italy,left,,,,,,
2016-17,142,Mario Rui,difensore,Roma,Empoli,1.0,1.0,5.5,0.0,0.0,-0.5,4.0,5.625,3.0,5.875,0.0,1.0,-3.0,36.0,5.958333333333333,3240.0,0.7919536926783621,1.99620171636343,29.0,36.0,6.0,1.0,0.0,0.0,0.0,5.875,0.0,1.0,-3.0,36.0,5.958333333333333,3240.0,0.7919536926783621,1.99620171636343,29.0,36.0,6.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.875,0.0,1.0,-3.0,36.0,5.958333333333333,3240.0,0.7919536926783621,1.99620171636343,29.0,36.0,6.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,43.0,12.0,77.0,3.0,7.0,9.0,,5.0,0.0,0,0.0,1.68,Portugal,left,,,,,,
2017-18,142,Mario Rui,difensore,Napoli,Roma,1.0,2.0,6.229166666666667,2.0,4.0,5.0,24.0,6.020833333333333,24.0,5.5,0.0,0.0,-0.5,4.0,5.625,345.0,0.09596269950270653,0.2107527032494545,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.6875,0.0,0.5,-1.75,20.0,5.791666666666666,1792.5,0.44395819609053433,1.1034772098064423,15.5,19.5,3.5,0.5,0.0,0.0,0.0,0.1875,-0.375,0.0,0.0,0.5,-1.0,1.25,2.5,16.0,-32.0,0.16666666666666652,-0.33333333333333304,1447.5,-2895.0,0.3479954965878278,-0.6959909931756556,0.8927245065569878,-1.7854490131139755,13.5,-27.0,16.5,-33.0,2.5,-5.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6875,0.0,0.5,-1.75,20.0,5.791666666666666,1792.5,0.44395819609053433,1.1034772098064423,15.5,19.5,3.5,0.5,0.0,0.0,0.0,25.0,0.0,1.0,84.0,2.0,83.0,3.0,5.0,1.0,,6.0,0.0,0,0.0,1.68,Portugal,left,,,,,,
2018-19,142,Mario Rui,difensore,Napoli,Napoli,0.0,3.0,5.868421052631579,1.0,1.0,1.0,19.0,5.815789473684211,17.0,6.229166666666667,2.0,4.0,5.0,24.0,6.020833333333333,2093.0,0.21898257452994585,2.751240434125066,7.0,24.0,8.0,1.0,0.0,0.0,0.0,5.868055555555556,0.6666666666666666,1.6666666666666667,0.5,21.333333333333332,5.8680555555555545,1892.6666666666667,0.3689663222370048,1.65273161791265,12.666666666666666,21.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.29772154319758365,0.17708333333333348,0.9428090415820634,1.0,1.699673171197595,1.5,3.3416562759605704,4.0,13.199326582148888,-6.0,0.17374994448884437,0.03125,1190.337860534656,-573.5,0.3032844749049973,-0.28648555907420814,1.0652067902774307,0.3775193588808179,11.728408057172787,-11.0,13.638181696985855,-6.0,2.943920288775949,1.0,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.868055555555556,0.6666666666666666,1.6666666666666667,0.5,21.333333333333332,5.8680555555555545,1892.6666666666667,0.3689663222370048,1.65273161791265,12.666666666666666,21.0,5.0,0.6666666666666666,0.0,0.0,0.0,26.0,1.0,1.0,88.0,2.0,,,6.0,10.0,,8.0,0.0,0,0.0,1.68,Portugal,left,,,,,,
2019-20,142,Mario Rui,difensore,Napoli,Napoli,0.0,4.0,5.739130434782608,0.0,2.0,-2.5,23.0,5.8478260869565215,22.0,5.868421052631579,1.0,1.0,1.0,19.0,5.815789473684211,1414.0,0.6294485982507467,2.1598001029342413,21.0,17.0,4.0,1.0,0.0,0.0,0.0,5.865862573099416,1.0,1.6666666666666667,1.8333333333333333,15.666666666666666,5.820540935672515,1284.0,0.3147979574277997,1.7072644134362538,10.0,14.666666666666666,4.333333333333333,0.6666666666666666,0.0,0.0,0.0,0.29768654242069453,0.18421052631578938,0.816496580927726,0.5,1.699673171197595,0.5,2.3213980461973533,0.7499999999999999,8.498365855987974,7.5,0.16163320458724667,0.09539473684210531,719.514187953696,534.5,0.22808951713548462,0.2667429493740201,1.0853911400610203,0.9745236998423934,8.04155872120988,9.5,8.73053390247253,7.0,2.8674417556808756,1.5,0.4714045207910317,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.868146929824562,0.75,1.5,0.625,20.75,5.854989035087719,1773.0,0.4340868912404403,1.779498739168048,14.75,20.0,4.75,0.75,0.0,0.0,0.0,27.0,1.0,1.0,79.0,2.0,,,8.0,9.0,,5.0,2.0,22.0,2.0,1.68,Portugal,left,,,,,,
2020-21,142,Mario Rui,difensore,Napoli,Napoli,0.0,5.0,5.895833333333333,0.0,1.0,-0.5,24.0,5.916666666666667,17.0,5.739130434782608,0.0,2.0,-2.5,23.0,5.8478260869565215,1976.0,0.9603294972330332,4.040529265999794,31.0,22.0,9.0,0.0,0.0,0.0,0.0,5.945572718026952,1.0,2.3333333333333335,1.1666666666666667,22.0,5.894816297991355,1827.6666666666667,0.6029202233379086,2.9838566010197005,19.666666666666668,21.0,7.0,0.6666666666666666,0.0,0.0,0.0,0.20736145856087682,-0.24501811594202927,0.816496580927726,-1.0,1.247219128924647,-1.0,3.064129385141706,-3.75,2.160246899469287,-0.5,0.09006222310075739,-0.08650362318840576,296.38076110900914,-58.5,0.30323437685171445,0.37067346135154366,0.7852253421903286,0.6446444159373641,9.843215373488935,12.0,2.943920288775949,-1.0,2.160246899469287,0.5,0.4714045207910317,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.842343630816171,0.6,1.6,0.0,21.2,5.85355644546148,1813.6,0.5393354124389589,2.231704844534397,18.0,20.4,5.6,0.6,0.0,0.0,0.0,28.0,1.0,0.0,59.0,7.0,,,5.0,4.0,,8.0,4.0,26.0,6.0,1.68,Portugal,left,,,,,,
2021-22,142,Mario Rui,difensore,Napoli,Napoli,0.0,6.0,6.073529411764706,0.0,5.0,1.5,34.0,6.029411764705882,34.0,5.895833333333333,0.0,1.0,-0.5,24.0,5.916666666666667,1655.0,0.6307689007371664,2.603211016394198,19.0,17.0,3.0,0.0,0.0,0.0,0.0,5.83446160691584,0.3333333333333333,1.3333333333333333,-0.6666666666666666,22.0,5.860094075769133,1681.6666666666667,0.7401823320736488,2.9345134617760777,23.666666666666668,18.666666666666668,5.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.06833194747475896,0.013706140350877138,0.4714045207910317,-0.5,0.4714045207910317,0.0,1.4337208778404378,-0.75,2.160246899469287,2.5,0.04208665408522996,0.05043859649122817,230.20908370918428,120.5,0.15566848652494156,0.0006601512432098389,0.8027480006985686,0.22170545672997832,5.2493385826745405,-1.0,2.3570226039551585,0.0,2.6246692913372702,-0.5,0.4714045207910317,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.851258581235698,0.5,1.5,-0.08333333333333333,21.666666666666668,5.864074815662344,1787.1666666666667,0.5545743271553268,2.293622539844364,18.166666666666668,19.833333333333332,5.166666666666667,0.5,0.0,0.0,0.0,29.0,0.0,0.0,76.0,3.0,,,8.0,5.0,,5.0,0.0,0,6.0,1.68,Portugal,left,,,,,,
2022-23,142,Mario Rui,difensore,Napoli,Napoli,0.0,7.0,6.25,0.0,5.0,3.0,22.0,6.113636363636363,21.0,6.073529411764706,0.0,5.0,1.5,34.0,6.029411764705882,3016.0,1.7086689919233322,4.273376990109682,32.0,34.0,7.0,0.0,0.0,0.0,0.0,5.902831059960216,0.0,2.6666666666666665,-0.5,27.0,5.9313015061096905,2215.6666666666665,1.099922463297844,3.639039090834558,27.333333333333332,24.333333333333332,6.333333333333333,0.0,0.0,0.0,0.0,0.13660745486033263,0.1671994884910486,0.0,0.0,1.699673171197595,1.5,1.632993161855452,2.0,4.96655480858378,5.5,0.07485084495210446,0.09079283887468037,580.8960511332663,520.0,0.45098543862366164,0.3741697473451495,0.7385839449039885,0.11642386205494404,5.90668171555645,0.5,7.133644853010899,6.0,2.494438257849294,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.883011557025556,0.42857142857142855,2.0,0.14285714285714285,23.428571428571427,5.887694379811421,1962.7142857142858,0.7194449935507562,2.576444604167981,20.142857142857142,21.857142857142858,5.428571428571429,0.42857142857142855,0.0,0.0,0.0,30.0,0.0,1.0,76.0,3.0,,,5.0,11.0,,9.0,3.0,25.0,9.0,1.68,Portugal,left,,,,,,
2023-24,142,Mario Rui,difensore,Napoli,Napoli,0.0,8.0,5.7368421052631575,0.0,2.0,-1.5,19.0,5.815789473684211,14.0,6.25,0.0,5.0,3.0,22.0,6.113636363636363,1781.0,0.6809892188757658,3.1221845080144703,11.0,21.0,2.0,1.0,0.0,0.0,0.0,6.073120915032679,0.0,3.6666666666666665,1.3333333333333333,26.666666666666668,6.019904931669637,2150.6666666666665,1.0068090371787548,3.3329241715061166,20.666666666666668,24.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.14458822473177535,0.17708333333333348,0.0,0.0,1.8856180831641267,2.0,1.4337208778404378,1.75,5.2493385826745405,-1.0,0.08069304095095099,0.09848484848484818,614.0414390648964,63.0,0.49671324198443423,0.025110159069299698,0.6979360043565012,0.2594867458101362,8.65383665716478,-4.0,7.2571803523590805,2.0,2.160246899469287,-0.5,0.4714045207910317,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.928885112397362,0.375,2.375,0.5,23.25,5.9159371277895385,1940.0,0.7146380217163824,2.644662092148792,19.0,21.75,5.0,0.5,0.0,0.0,0.0,31.0,1.0,1.0,87.0,1.0,,,9.0,9.0,13.5,10.0,2.0,39.0,11.0,1.68,Portugal,left,,,,,,
2016-17,653,Zambelli,difensore,Empoli,Empoli,0.0,1.0,5.5625,0.0,0.0,-0.5,8.0,5.625,4.0,5.5,0.0,0.0,-1.5,16.0,5.59375,1246.0,0.0,0.21918299980461597,0.0,13.0,3.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,-1.5,16.0,5.59375,1246.0,0.0,0.21918299980461597,0.0,13.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.0,0.0,-1.5,16.0,5.59375,1246.0,0.0,0.21918299980461597,0.0,13.0,3.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,43.0,12.0,,,3.0,2.0,,2.0,0.0,0,0.0,1.8,Italy,right,,,,,,
