stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,3,Empoli,0.0,1.0,2.5,1.1304944530129433,1.0639464086852968,2,0.0,1.0,2.5,1.1304944530129433,1.0639464086852968,2
2015-16,3,Frosinone,0.0,0.5,2.0,0.8658138776663691,2.577452321536839,2,0.0,0.5,2.0,0.8658138776663691,2.577452321536839,2
2015-16,3,Napoli,0.5,1.5,2.0,1.446289945859462,1.7645539436489344,2,0.5,1.5,2.0,1.446289945859462,1.7645539436489344,2
2015-16,3,Torino,3.0,2.5,1.0,1.323802855797112,0.9178995320107788,2,3.0,2.5,1.0,1.323802855797112,0.9178995320107788,2
2015-16,3,Inter,3.0,1.5,0.5,2.1833614842034876,0.6233264957554638,2,3.0,1.5,0.5,2.1833614842034876,0.6233264957554638,2
2015-16,3,Atalanta,1.5,1.0,0.5,1.7682674676179886,0.936119444668293,2,1.5,1.0,0.5,1.7682674676179886,0.936119444668293,2
2015-16,3,Lazio,1.5,1.0,2.5,1.210486643947661,1.0080109923146665,2,1.5,1.0,2.5,1.210486643947661,1.0080109923146665,2
2015-16,3,Palermo,3.0,1.0,0.0,1.2154860263690352,1.676607634872198,2,3.0,1.0,0.0,1.2154860263690352,1.676607634872198,2
2015-16,3,Udinese,1.5,0.5,0.5,1.721491173375398,1.3081193091347814,2,1.5,0.5,0.5,1.721491173375398,1.3081193091347814,2
2015-16,3,Milan,1.5,1.0,1.5,0.8184957597404718,1.4875801531597972,2,1.5,1.0,1.5,0.8184957597404718,1.4875801531597972,2
2015-16,3,Fiorentina,1.5,1.5,1.5,1.4483469584956765,0.6173274014145136,2,1.5,1.5,1.5,1.4483469584956765,0.6173274014145136,2
2015-16,3,Genoa,1.5,1.0,0.5,1.4051435692235827,1.0812410158105195,2,1.5,1.0,0.5,1.4051435692235827,1.0812410158105195,2
2015-16,4,Sassuolo,2.3333333333333335,1.6666666666666667,1.0,1.397023944184184,0.8815747449795405,3,2.3333333333333335,1.6666666666666667,1.0,1.397023944184184,0.8815747449795405,3
2015-16,4,Verona,0.6666666666666666,1.0,1.6666666666666667,1.0062332081918914,1.3823358559360106,3,0.6666666666666666,1.0,1.6666666666666667,1.0062332081918914,1.3823358559360106,3
2015-16,4,Chievo,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.1153174281741183,1.6906841293287773,3,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.1153174281741183,1.6906841293287773,3
2015-16,4,Roma,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3477227898935478,0.7396358175513645,3,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3477227898935478,0.7396358175513645,3
2015-16,4,Bologna,0.0,0.3333333333333333,1.6666666666666667,0.26627080235630274,1.204662223501752,3,0.0,0.3333333333333333,1.6666666666666667,0.26627080235630274,1.204662223501752,3
2015-16,4,Sampdoria,2.3333333333333335,3.0,1.3333333333333333,1.359233777038753,1.554179704748094,3,2.3333333333333335,3.0,1.3333333333333333,1.359233777038753,1.554179704748094,3
